브랜드명,6월반영,카테고리,인스타,근거
DEWYTREE (듀이트리),,선케어·스킨케어,dewytree_official,"㈜듀이트리(송파) 독립 중소. 올영·Douglas·Watsons 유통, 43K. ※중간급(검토). [출처=클로드]"
SKIN&LAB (스킨앤랩),,선케어·더마,skinnlab_official,"LAB&Company 산하(I'M FROM 형제) 더마, 올영, 24K. ※중간급(검토). [출처=클로드]"
KEYM (키임),✓,색조 (립글로스),keymbykim,"얼루어 2026-06-22 루키. 리본 오브제 립글로스 Glow Bow, K팝 데뷔식 론칭. keymbykim.com. [출처=클로드]"
포들 (PO:DL),,스킨케어 (신생 스타트업),podl_official,2024.8 설립·2025.4 론칭. 시리즈A 35억(카카오벤처스·쿠팡 등). 2개월 99만개. podl.co.kr. [출처=클로드]
신스루 (Sinsuru),,스킨케어 (트러블),sin.suru,"블랭크 자회사 원더웰 운영, 유황온천수 트러블, K-Beauty Next Big5 USA. 6.5K. ※블랭크 연결(검토). [출처=클로드]"
화랑 (hwarang'),✓,한방 스킨케어,hwarangs_official,도라지 추출 클렌징·모이스처 한방 인디. 아마존·예스스타일·예뽀. 소형. [출처=클로드]
HARIMARO,✓,스킨 (마이크로니들 세럼),,비건 마이크로니들 세럼 딜리버리 Shot1000. 2026 기사 등장. IG 미확인. [출처=클로드]
코스메쉐프 (COSMECHEF),,스킨 (발효·한방),cosmechef.official,흑당고 비누 와디즈 8억 펀딩. 자연주의 발효 소형 인디. [출처=클로드]
다룸 (DahRuem),,더마 스킨케어,,와디즈+자사몰. 피부과학×명품전문가. 리딩프로스 독립. IG 미확인. [출처=클로드]
노에트 (NAUET),,색조 (립·치크),nauet.official,"싱글즈 신생8 등재, 2025 론칭. 무신사·성수팝업. nauet.co.kr. [출처=클로드]"
루아센시아 (LUASSENCIA),✓,더마 (마스크·크림),,"클리닉 기반 인디, 글로우픽·SSG. 모아씨앤씨. IG 미확인. [출처=클로드]"
타이니원더 (TINY WONDER),,색조 (미니 립틴트·쿠션),tinywonder_xoxo,"2025.3 론칭, 에이블리 뷰티 1위. 비브이엠티 신생 인디. [출처=클로드]"
례례 (Reirei),✓,스킨 (쌀뜨물·도토리),reiireii.official,2024.12 W컨셉 단독. 박막례 기획. 13K. 마리끌레르·하퍼스바자. [출처=클로드]
플르부아 (Pleuvoir),,스킨 (향 라이프스타일),,29CM·올영·무신사·W컨셉. ㈜플르부아 독립. IG 미확인. [출처=클로드]
무무키 (MUMUKI),✓,쿠션 색조,mumuki_kr,"2025.10 임블리 기획, BM스마일. BDRN 쿠션 완판. 신생. [출처=클로드]"
그레이스데이 (GRACEDAY),✓,스킨케어,graceday_k,2020 중소. 코스모뷰티서울 2025 참가. ※2020(검토). [출처=클로드]
루미르 (LUMMIR),,색조,lummir_makeup,2024 신생 색조(레드벨벳 담당 아티스트 공동개발). 무신사 팝업 후 거래 240%·검색 420%↑. 22K. lummir.kr. [출처=클로드]
클레버스텝스 (Cleversteps),✓,더마 스킨케어,,중남미 K뷰티 유튜버(265만) 제이슨배 창업. 2026.4 더벤처스 시드. 세라마이드·나이아신아마이드 고함량. IG 미확인. [출처=클로드]
소묘 (SOMYO),✓,스킨 (선베이스),,"키뮤트 2026 설립, 하임벤처 시드. BALANCELOCK 선+프라이머+베이스 통합. 일·베트남 목표. IG 미확인. [출처=클로드]"
볼라보 (Bollabo),✓,스킨 (립케어·랩핑밤),bollabo_korea,와디즈 누적 7억+ 랩핑밤 재펀딩. 라끄본 운영. 신생 인디. [출처=클로드]
벨라 (VELLA),,스킨 (선케어),vella_official_kr,"와디즈 K뷰티 선케어 1위, 하이드로 선에센스 후기 1.4만. vellacosmetic.com. [출처=클로드]"
셀룸 (Cellum),✓,스킨 (맞춤 앰플),,"와디즈 1.4억 맞춤앰플, 2000명 후기. 신생. IG 미확인. [출처=클로드]"
폴라탐 (POLATAM),✓,스킨 (베터에이징),polatam_official,인터참 2025 라이징 수상(시카 말라카밍 수분크림). 중소 인디. [출처=클로드]
베르티 (VERTTY),✓,스킨 (비건),vertty_official_global,"다름인터내셔널. 서울인디뷰티쇼·코스모프로프 볼로냐, 이탈리아 입점. 3K 소형. [출처=클로드]"
런슬로우 (RUNSLOW),✓,스킨 (안티에이징),,서울인디뷰티쇼 2025. Early Anti-aging. runslow.co.kr·무신사. IG 미확인. [출처=클로드]
에포나 (EPONA),✓,스킨케어 (제주),_.epona,제주 청정원료 독립 인디. 다름인터내셔널. epona.co.kr. [출처=클로드]
쿠오카 (Kuoca),,스킨 (소량배치 럭셔리),kuoca.official,성수 '파인다이닝 스킨케어'. 식재료급 원료 소량생산 부티크. [출처=클로드]
보히케어 (bohicare),,스킨 (슬로우에이징),bohicare.official,케이트렌드 2025.11 클러스트벤처스 시드. 인플루언서 출신 대표. 신생. [출처=클로드]
클로아 (CLOA),✓,스킨·바디 (천연발효 클린),,"트루자임 2024.12 론칭, 백화점 3사 입점. cloa.co.kr. 신생. IG 미확인. [출처=클로드]"
초민감 (Chomingam),✓,스킨 (민감 세럼),,텀블벅 펀딩 소규모 신생. chomingam.com. IG 미확인. [출처=클로드]
더퍼블리셔 (The Publisher),✓,스킨 (핸드크림),,텀블벅 계절 핸드크림 라이프스타일 소규모. thepublisher.co.kr. IG 미확인. [출처=클로드]
엘로엘 (ELROEL),✓,색조 (파운데이션·선쿠션),elroelcosmetic,"아티스트 유양희 창업. 코스모프로프 아시아 2025 한국관, 22개국. 13K. [출처=클로드]"
리써 (RESEAR),✓,스킨 (마스크팩),resear_official,"2025 창업, 매쉬업벤처스 시드. 김밥롤 마스크. 인천공항·글로벌 280만뷰. 신생. [출처=클로드]"
씽크바이오 (Think Bio),✓,스킨 (동결건조 에어볼),,"thinkbio.co.kr. 2026.1 성수 입점, 코스모프로프 2025. 신생. IG 미확인. [출처=클로드]"
라바섬 (LAVASOME),✓,스킨 (제주 더마),lavasome_official,제주 생물다양성연구소 기술이전 AI맞춤 앰플. 소형 스타트업. lavasome.co.kr. [출처=클로드]
데일리시 (Dailish),✓,스킨 (제주),dailish_cosmetic,"제주 천연소재, 10여국 수출. 4.7K 소형 인디. dailish.co.kr. [출처=클로드]"
우무솝 (Umoo Soap),✓,스킨·클렌징 (제주),umusoap,제주 해녀 우뭇가사리 원료. 2.2K 소형 인디. umusoap.com. [출처=클로드]
세이니드 (SAYNID),✓,스킨+하이브리드 색조,saynid_official,"텍트그룹, 설립 2주만에 카카오벤처스 등 시드. 2025 신생. saynid.kr. [출처=클로드]"
비티티알 (bttr),✓,스킨케어,bttr.kr,세터(SATUR) 창업자 설립. 2026.1 알토스벤처스 시드. 설립 1년 미만 신생. bttr.co.kr. [출처=클로드]
에이더블유이 (AWE),✓,스킨 (한방 클린비건),awe_beauty.official,"크리네이처, 초석잠 한방. 2020 강릉, 2025 TIPS 선정. 소형 스타트업. [출처=클로드]"
더마젼시 (DERMAGENCY),,더마 (스킨+베이스),dermagency_kr,"인플루언서 아옳이 2025 론칭(뉴아이피아/BM Smile). 론칭 4만개 완판, 올영 300점, 아마존US·동남아5국. 신생. [출처=클로드]"
오데어 (ODEAR),,스킨케어 (미니멀),odear_official,인플루언서 박아인 설립 미니멀 스킨. 신세계 센텀 팝업. 신생 독립. [출처=클로드]
바이어 (ByUR),✓,스킨 (모공·토너패드),byur.official,하미글로벌 한-일 공동개발. 아마존·W컨셉·올영글로벌. 비상장 중소. [출처=클로드]
키노닉스 (Keenoniks),,스킨 (토너·클렌징패드),keenoniks_official,와디즈 올인원크림토너 4억. 올영·무신사·신라DFS. 신생 인디. [출처=클로드]
메이베나,✓,스킨 (마스크팩),maybena_official,"부산화장품협회 임원사, 와디즈 TOP100. 4.1K. 중소 인디. maybena.com. [출처=클로드]"
누드페이스 (NUDEFACE),✓,색조 (립),,"오초이스 2023, 필오프 립타투팩. 포브스 색조 대상, 백화점. ※리브랜딩(DARE:A) 중·IG 미확인. [출처=클로드]"
닥터오프쇼어,✓,스킨 (메디컬 아웃도어·광노화),,2025 얼루어 라이징. 성형외과 기반 신카테고리. 중소. IG 미확인. [출처=클로드]
퍼셀 (Purcell),,스킨 (장벽강화),purcell.seoul,"올영 브랜드관, 올영라이브 신진펀딩 22만 시청. 픽셀바이옴 신진 인디. purcell.kr. [출처=클로드]"
모브닝 (Morming),,스킨케어,,"올영 브랜드관, 올영라이브 신진펀딩. 데일리 라이프 신진. IG 미확인. [출처=클로드]"
폰들리 (Fondly),,색조 (슬립틴트),fondly_official,"2024.12 론칭, 6개월만에 올영 온오프 입점. 실리콘 어플리케이터 슬립틴트. 신생. [출처=클로드]"
손앤박 (SON&PARK),,색조 (비건 립·페이스),sonandparkofficial,메이크업 아티스트 손대식·박태윤이 설립한 중소 색조 브랜드. 2024년 매출 전년비 140% 성장해 51억원. 다이소 컬러밤 품절 대란. 출처: m.ddaily.co.kr 2024031809171936365
랩잇 (Lab.it),,스킨케어 (더마·슬림더마),lab.it_official,닥터지(Dr.G) 운영사 고운세상코스메틱이 1020세대 겨냥 론칭한 다이소 전용 더마 브랜드. 말레이시아 500개 매장 글로벌 진출 확인. 출처: news1.kr/industry/distribution/5340831
입큰 (IPKN),,색조 (베이스·립·쿠션),ipknofficial,"이넬코스메틱 운영 중소 색조 브랜드. 다이소 협업 퍼스널 컬러 제품 초도 완판, Z세대 바이럴. 출처: cosinkorea.com no=48628"
소휘 (sohwi),,이너뷰티 (식물성 이너케어),sohwi.official,"자연식물식 클린 이너뷰티 브랜드. 와디즈 누적 7억+ 펀딩, 브랜드데이 6일만에 매출 1억 돌파. 출처: newsis.com NISX20250314_0003098582"
그로우셀 (Growcell),,헤어/두피케어,,G4PRF 자체 개발 성분 탑재 신생 두피·탈모 전문 브랜드. 2025 대한민국 소비자브랜드평가 두피앰플 1위. 출처: kairnews.com/news/434012
여리여리,,이너뷰티,_yeoriyeori,"와디즈 글루타치온 이너뷰티 펀딩 17,221% 달성(1억286만원), 앵콜 펀딩까지 진행. 자사몰(yeoriyeori.com) 운영 중인 소규모 인디 이너뷰티 브랜드. 인스타 @_yeoriyeori 68K. 출처: https://www.mhns.co.kr/news/articleView.html?idxno=712213"
이즈앤트리 (isntree),,스킨케어,isntree_kr,"기능성 그린뷰티 독립 중소기업(2012 설립, 대기업 계열 아님). 2025 화해 라이징 브랜드 랭킹 등재, NCT 재민 Z세대 인플루언서 모델 활용 적극 마케팅 중. 국내 @isntree_kr 35K·글로벌 @isntree 196K. 출처: https://business.hwahae.co.kr/insight/rising-kbeauty-brands-2025-q4/"
EIOM (이옴),,스킨케어,eiom_official,"마이크로바이옴 트러블케어 특화 신생 브랜드(운영사 Newselect). 큐텐재팬 카테고리 1위, 아마존 미국 진출, 10개국+ 유통. 무신사·올리브영 입점. 공식 인스타 @eiom_official 확인. 출처: https://www.livesnews.com/news/article.html?no=59972"
NE:AR (니아르),,이너뷰티,near__official,"이너뷰티·웰니스 인디 브랜드. 큐텐재팬 메가데뷔 어워즈 루키상(이너뷰티), 2025 고객감동 이너뷰티 부문 1위, 일본 시장 진출. 공식 인스타 @near__official 13K. 출처: https://theguru.co.kr/news/article/?no=79484"
Ricocell (리코셀),,스킨케어,ricocell.official,"한국 소규모 인디 스킨케어 브랜드(운영사 아이준주식회사, 경기 구리). 아마존·쇼피 등 다국적 역직구 플랫폼 직판, 베트남·UAE 등 해외 판매 중. 공식 인스타 @ricocell.official 확인. 출처: https://ricocell.com/ ; https://www.instagram.com/ricocell.official/"
제주인디 (Jeju Indi),,스킨케어,,"제주 일출랜드 직접 재배 쪽·동백·하귤 원료 사용 소규모 인디 브랜드. 자체 몰(jejuindi.com) 운영 확인, 제주특별자치도지사 인증 화장품. 인스타 핸들은 검색으로 직접 확인 안 돼 빈칸 처리. 출처: https://jejuindi.com/"
탐라레 (Tamrare),,스킨케어·바디,,"제주 동백 성분 스킨케어·바디 직영 브랜드, tamrare.com 운영 확인. 해외 스킨케어 큐레이션 사이트(skinsli.com)에도 등재. 인스타 핸들 미확인으로 빈칸. 출처: https://www.tamrare.com/, https://skinsli.com/products/tamrare-jeju-camellia-perfect-face-oil-30ml"
POUCH24 (파우치24),,스킨케어/바디케어,pouch24_official,"배우 하지원이 화장품 전문가 친언니와 함께 2025년 1월 론칭한 프리미엄 스킨케어 브랜드. 유명인 창업이나 신생 중소 규모. @pouch24_official 8K 팔로워 직접 확인. 출처: https://www.instagram.com/pouch24_official/, https://pouchtwentyfour.com/"
헤메코랩 (HEMEKO LAB),,뷰티 플랫폼/PB (헤어·스킨케어),hemeko.o,"헤어 스타일리스트 크리에이터 '기우쌤' 기반 뷰티 편집샵 플랫폼 + 자체 PB 화장품 출시. @hemeko.o 119K 팔로워, 얼루어 코리아 2025 특집 확인. 크리에이터 중심 인플루언서 마케팅이 핵심 채널. 출처: https://www.instagram.com/hemeko.o/, https://www.allurekorea.com/2025/10/01/new-era-of-k-beauty-%ED%97%A4%EB%A9%94%EC%BD%94%EB%9E%A9-%EC%9D%B4%EC%84%B1%EA%B7%9C-%EB%8C%80%ED%91%9C/"
르마하 (LEMAHA),,스킨케어/셀프케어,lemaha.official,"셀프케어 전문가 콘텐츠 크리에이터 창립 프로페셔널 셀프케어 브랜드. 괄사·두개골밸런스 홈케어 D2C 운영. 실재 확인: lemaha.co.kr, instagram.com/lemaha.official"
코스노리 (Cosnori),,색조/스킨케어,cosnori_official,"그레이스클럽 운영 독립 중소 뷰티 브랜드. 2025 올리브영 어워즈 2관왕, 아이래쉬 세럼 누적 450만개 판매. 실재 확인: news1.kr/industry/general-industry/5992132, 비상장 독립 중소기업 확인"
바이오가 (Biorga),,헤어케어/바디케어,biorga_official,"올리브영 헤어케어 부문 1위 달성 중소 브랜드. 등드름 바디워시로 2025 올영어워즈 수상, 탈모샴푸 인플루언서 협찬 활발. 실재 확인: instagram.com/biorga_official, oliveyoung 브랜드관"
에스네이처 (S.NATURE),,스킨케어,s.nature,"올리브영 어워즈 3관왕 수분 스킨케어 인디. 아쿠아 스쿠알란 세럼 주력 제품, 무신사 입점. 인스타 @s.nature 실존 확인(26K 팔로워). 출처: Instagram @s.nature 자기소개 '올리브영 어워즈 3관왕', musinsa.com/brand/snature"
톤28 (TOUN28),,스킨케어,toun28_official,"에코·제로웨이스트 지향 데이터 기반 스킨케어 인디 브랜드. 무신사 뷰티 성수 전문관 입점 후 거래액 158% 증가. 2016년 설립이나 중소 인디로 인플루언서 마케팅 여지 있음. 인스타 @toun28_official 실존 확인. 출처: Instagram @toun28_official, musinsa.com/brand/toun28, newsway.co.kr(2026.06)"
리르화장품 (Rire),,색조,rirecosmetic_official,"경기 기반 (주)아이더블유컴퍼니 독립 운영 중소 색조 브랜드. @rirecosmetic_official 인스타 확인, rire.co.kr 자체몰·카카오스토어 운영. 대기업 계열 아님. 출처: instagram.com/rirecosmetic_official, nicebizinfo.com 기업정보"
이솔화장품 (2SOL),,스킨케어,2sol_cosmetic,"성분 중심 기초 전문 소규모 인디 브랜드. @2sol_cosmetic 인스타 2,488팔로워 확인, 2sol.co.kr 자체몰 운영. 해외 뷰티박스 입점 이력. 출처: instagram.com/2sol_cosmetic, beautyboxkorea.com"
생블랑쉬 (Saint Blanche),,스킨케어,saint_blanche_seoul,"기능성 주름·미백 특화 소규모 뷰티 브랜드(에스디네트웍스 운영). @saint_blanche_seoul 인스타 확인, 현대백화점 팝업·롯데 라코스메티크 편집샵 입점. 대기업 무관 독립 법인. 출처: instagram.com/saint_blanche_seoul, saintblanche.com"
셀베인 (Cellvane),,스킨케어,,"의약품 전문기업 제론셀베인의 B2C 소비자향 PDRN 스킨케어 브랜드. 공식몰(cellvane.com) 운영, 신세계인터넷면세점 입점, 현대백화점 비클린 팝업 참여 확인. 인스타 핸들 검색으로 확인 불가 → 공란. 출처: cellvane.com, etoday.co.kr 기사"
투크 (TOOQ),,색조,tooq.official,"무심한 감성의 한국 인디 색조 브랜드(주식회사 헤이다컴퍼니). 공식몰 tooq.co.kr 운영, 인스타 @tooq.official 팔로워 5.4만 확인. 더현대서울 비클린 큐레이션 입점 브랜드. 출처: instagram.com/tooq.official, tooq.co.kr"
낫포유 (NOT4U),,바디케어,not4u_korea,"피부 타입별 맞춤 바디 솔루션 신생 브랜드(not4u.kr). 에이블리 2025 상반기 뷰티 어워즈 라이징 부문(클리어 바디 미스트) 수상. 무신사 입점. 인스타 @not4u_korea 팔로워 9.5천 확인. 출처: instagram.com/not4u_korea, apparelnews.co.kr(에이블리 어워즈 기사)"
"토브 (Truth of Beauty, TOB)",,스킨케어,truthofbeauty_official,"자연주의·발효 성분(갈락토) 기반 인디 스킨케어. 화해 어워드 2025 하반기 넥스트뷰티 부문(갈락토 씨씨 결 세럼) 수상. 무신사 입점, 홍보대행사 NPR 신규 고객사 공개. 인스타 @truthofbeauty_official 기재(직접 확인 어려우나 브랜드 실존 다수 매체 확인). 출처: musinsa.com/brand/truthofbeauty, blog.hwahae.co.kr 어워드 발표"
씨 (Si Vegan Cosmetic),,스킨케어,si_vegancosmetic,"자연주의 비건화장품 브랜드. 심코인터내셔널 운영, 자체 공식몰(simko.co.kr) 및 이랜드몰 입점 B2C 직판. 소규모 독립 브랜드. 출처: https://simko.co.kr/"
닥터랩 (DR+LAB),,더마 스킨케어,dr.lab_official,"병원·에스테틱 전문 화장품으로 시작해 D2C 자사몰(drlab.co.kr)로 확장 중인 피부과학 브랜드. 인스타 @dr.lab_official 확인(3K 팔로워). B2B 비중이 여전히 있으나 D2C 전환 중이며 인플루언서 마케팅 여지 큼. 출처: https://www.drlab.co.kr/, https://www.instagram.com/dr.lab_official/"
닥터오아시스랩 (Dr. Oasis Lab),,더마 스킨케어,,"피부과·의학 기반 소규모 더마 홈케어 브랜드, 자사몰 droasislab.com 운영 확인. 인스타 공식 핸들 검색 결과 미노출로 빈칸 처리. 출처: droasislab.com/brand/brandstory.html"
Mimicri,,니치 향수,wearemimicri,"Daniel Kim 크리에이티브 디렉터, 연필 흑연·한지·스튜디오 먼지 등 예술 소재 컨셉 아트 향수. 코리아 퍼퓸 파리 2025 참가. 출처: instagram.com/wearemimicri 확인, formesdeluxe.com Mimicri 기사"
Enrobage (앙호바쥬),,니치 향수,enrobage_official,"한국 창업, HIDE & SHOW 철학의 크로매틱 컬러 타입 향수 4종. 코리아 퍼퓸 파리 2025 11개 참가 브랜드 포함 확인. 출처: instagram.com/enrobage_official 확인, insightkorea.co.kr 론칭 기사"
odt. (오디티),,니치 향수,odt_parfums,"서울 기반, 프랑스 조향 유산+한국 모더니티 결합, oddity(기이함)에서 이름. 코리아 퍼퓸 파리 2025 12개 선정 브랜드. 출처: instagram.com/odt_parfums 확인, paris-frivole.com odt 리뷰"
BLNDRGRPHY,,니치 향수,blndrgrphy,"한국계 창업자 Hyun Yeu, 칵테일 믹솔로지 컨셉 아방가르드 향수. 2024년 출시, 코리아 퍼퓸 파리 2025 참가, Jovoy Paris·ZGO 유통. 팔로워 4.8K. 출처: instagram.com/blndrgrphy 확인, fragrantica.com/designers/BLNDRGRPHY"
Organ Tale,,니치 향수,organtale,"서울 창업 Shim Ilhwa, 어머니 향수 기억 모티프. 미국 ZGO Perfumery 공식 유통, Fragrantica 등재. 공식 인스타 @organtale(제공된 핸들 미확인으로 빈칸이었으나 검색으로 교정). 출처: zgoperfumery.com Organ Tale, instagram.com/organtale 확인"
에필로우 (EFILOW),,스킨케어,efilow_official,"지그재그 2026 뷰티 브랜드 인큐베이팅 프로그램 참여사. 클린·비건 기능성 스킨케어, 올리브영·무신사 입점. 출처: efilow.com·무신사·올리브영·instagram.com/efilow_official 확인"
씨드렛 (Seedlet),,스킨케어,,"EWG 그린 등급, 생명공학 기반 클린뷰티. 큐컴버 수딩 토너패드 히어로 제품 보유, 자사몰 운영 확인. 인스타 핸들 검색에서 공식 계정 직접 확인 불가 — 공란 처리. 출처: seedlet.co.kr 확인"
담톤 (Damtone),,스킨케어·베이스 (톤업 선크림),damtone__kr,"소규모 자사몰 직판형 신생 스킨케어 브랜드. 글로우픽 추천 TOP20 등재, 신라인터넷면세점 입점, 헤메코랩 플랫폼 단독 최저가 판매 확인. Instagram @damtone__kr 확인."
어노브 (UNOVE),,헤어케어,unove.official,"2026년 2월 미국 세포라 입점(K-헤어케어 브랜드 최초), 론칭 1개월 만에 헤어케어 TOP 25 진입. 닥터포헤어 패밀리 중소 인디. 뷰티누리·코스모닝 기사 확인. Instagram @unove.official(51K 팔로워) 확인. 2026년 7월 캐나다·유럽 세포라 추가 진출 예정."
브루케시아 (Brookesia),,색조 (스킨인핸서 베이스 메이크업),brookesia_official,"PIECEBE Inc. 운영 독립 인디 색조 브랜드, 시코르 강남역점 입점 및 팝업스토어 운영 확인. 공식 사이트(brookesia.co.kr)·인스타(@brookesia_official, 13K) 실존 확인. 출처: wwdkorea.com 팝업 기사, instagram.com/brookesia_official"
노엘로힐스 (Noelo Hills),,스킨케어 (클린 가족·영유아),noelohills_official,"세손(주) 운영, 세포라 코리아 '넥스트 K뷰티' 선정 후 세포라 팝업 입점·온라인몰 입점 확인. Series A 투자 유치 신생 중소. 공식 사이트(noelohills.com)·인스타(@noelohills_official) 실존 확인. 출처: cosinkorea.com no.40429, sephora.kr 브랜드 페이지"
Deardot (디어닷),,"스킨케어 (비건, 제주 당유자 원료)",deardot_official,"2022년 10월 런칭 독립 비건 스킨케어, 제주 멸종위기 감귤 당유자 발효 추출물 기반. 공식 사이트(deardotcosmetic.com)·인스타(@deardot_official) 실존 확인, Cosmoprof Bologna 참가로 해외 바이어 접촉 이력. 출처: cosmeticsdesign-asia.com(2022.11), instagram.com/deardot_official"
I'm From,,한방 원료 성분 스킨케어,imfrom_global,"쑥·인삼·쌀·꿀 전통 원료 기반 성분 투명 스킨케어. LAB & Company Inc.(SKIN&LAB 자매사) 산하이나 독립 브랜드 성격 유지, 상장사·대기업 계열 아님. 인스타 @imfrom_global 111K 팔로워 확인. 출처: sokoglam.com, theimfrom.com"
BORNTOSTANDOUT,,니치 향수,borntostandout.official,"2022년 서울 스타트업, 로레알 BOLD 시리즈A 투자(인수 아님), 비상장 독립 브랜드, 60개국 럭셔리 유통, 인스타 111K. 출처: borntostandout.com, m-i.kr/news/articleView?idxno=1209131"
셀바티코 (Selvatico),,프래그런스·바디케어,selvatico.co,"운영사 본작, 2025년 프리A 25억 유치, 프랑스 헤리티지 기반 니치 프래그런스·바디, 현대·롯데 백화점 입점 중소 인디. 인스타 @selvatico.co 확인. 출처: sisajournal-e.com 셀바티코 인터뷰"
엑소프록실 (EXOPROXYL),,스킨케어 (더모코스메틱),exoproxyl,"운영사 에이지온(2023년 설립), 2024년 7월 론칭·중기부 TIPS 선정, 엑소좀·경피약물전달 기술 기반, 론칭 1년 만에 누적매출 40억. 인스타 @exoproxyl 확인. 출처: beautynury.com/news/view/110296"
Sooo Lab (SOOO),,헤어케어,sooo.lab,"2024년 런칭, 수영 후 염소 96% 제거 특화 클라리파잉 샴푸·바디워시. 코스모뷰티서울 2026 Rookie of the Year 수상(premiumbeautynews.com). 공식몰 sooo.kr 및 아마존 등재로 실재 확인. 니치 니즈 기반 인디 브랜드, 인플루언서 영업 여지 큼."
Ginger6 (진저6),,스킨케어,ginger6_official,"순수 생강수(진저워터) 기반 스킨케어 독자 콘셉트. 공식몰 ginger6.co.kr 실재 확인, 인스타 @ginger6_official 실재 확인(5,350팔로워). 코스모뷰티서울 2026 참가 브랜드(premiumbeautynews.com). 운영사 하나모아. 대기업 계열 아님."
JUL7ME (줄라이미),,헤어케어,julyme.official,"향기 특화 손상케어 헤어 브랜드. 공식몰 jul7me.com 실재 확인, 인스타 @julyme.official 실재 확인(17K팔로워). 코스모뷰티서울 2026 피처드(premiumbeautynews.com). 무신사·SSF SHOP 입점. 소비자 직판 및 SNS 마케팅 채널 운영 중."
INMI Seoul (인미서울),,스킨케어,inmiseoul_official,"RiceNA™(라이스 비건 PDRN+소이 엑소좀+8종 히알루론산) 독자 복합체. 신생 D2C 브랜드, 공식몰 inmiseoul.com 실재 확인, 아마존 입점 확인. 인스타 @inmiseoul_official 실재 확인. 대기업 계열 아님."
바를 (BARLE),,스킨케어,barle.official,"2025 코스모뷰티서울 루키 오브 더 이어 중소벤처기업부 장관상 대상(시카밤부토너패드). 올리브영 온라인 입점, 대표 TV 출연('전현무의 셀러-브리티'). 균형 중심 스킨케어 신생 브랜드. 출처: sisunnews.co.kr, mhns.co.kr/716733"
보타닉센스 (BOTANICSENS),,스킨케어·바디케어,botanicsens.korea,"연세대 기술지주회사 산하 창업 브랜드. 2025 코스모뷰티서울 루키 오브 더 이어 중기부장관상 수상(운데칸 바디오일). EVE 비건 인증, 국내외 바이어 주목. 출처: cosinkorea.com/55324"
씨널스 (SCENEARTH),,스킨케어·선케어,scenearth_official,"2021년 설립 저자극 클린뷰티 브랜드. 코스모뷰티서울 루키 오브 더 이어 2년 연속 수상. 무신사·29CM 입점 운영 중. 출처: scenearth.co.kr, 무신사"
리터뉴 (RETURNU),,스킨케어,returnu_kr,"포어슈터 고마쥬 클렌징 밤으로 2025 코스모뷰티서울 루키 오브 더 이어 수상. CPNP·MoCRA 등 글로벌 인증 완료, 성분 투명성 기반 신생 K뷰티 브랜드. 출처: beautynury.com/108492"
리어퍼스트로피 (Re'Apostrophe),,스킨케어 (나노패치),,"나노바이오시스템 기술 기반 독립 소비자 뷰티 브랜드(re-cosmetics.com). 셀로브릿지 스팟패치로 2025 코스모뷰티서울 루키 오브 더 이어 수상. 의료기기 1등급 소재 나노패치 특화. 인스타 핸들 미확인. 출처: re-cosmetics.com, thekbs.co.kr/13590"
퓨리영 (PUREYOUNG),,스킨케어,pureyoung_official,"2025 코스모뷰티서울 공식 참가(부스 운영). 'Return to Pure Young Skin' 모토, 자사몰 독립 운영 신생 브랜드(팔로워 1,271 소규모). 출처: pureyoung.co.kr, instagram.com/pureyoung_official"
Rejuveon (리쥬비온),,스킨케어 (PDRN 홈케어 재생),,"의원급 PDRN 성분 기반 홈케어 브랜드. rejuveon.kr 자사몰 운영, 해외 쇼핑몰(cocomo.sg, beautyboxkorea.com 등) 다수 유통 확인. 인스타 핸들 미확인. 출처: rejuveon.kr, cocomo.sg/collections/rejuveon"
두잉왓 (DOINGWHAT),,남성 스킨케어·색조·헤어,doingwhat_official,"2023년 7월 남성 뷰티 유튜버 '관리는 하고 살자' 런칭, 올리브영·무신사 입점, 출시 직후 1차 물량 완판. 크리에이터 기반 브랜드로 인플루언서 콜라보 수요 높음. 출처: news.nate.com/view/20230731n12781"
오브제 (OBgE),,남성 스킨케어·베이스 메이크업,obge_official,"2020년 12월 론칭 남성 전용 스킨케어·메이크업 인디. 무신사 남성뷰티 1위·올리브영 맨즈케어 1위 달성 신흥 강자. 덱스 모델 기용 등 인플루언서 마케팅 적극 활용. 출처: obge.co.kr, ktnews.com"
그라펜 (GRAFEN),,남성 스킨케어·향수·헤어,grafen_official,"서울 기반 맨즈뷰티 인디, 스킨케어·메이크업·향수 라인, 올리브영·무신사 입점, 인스타 31K. 빈지노 모델 기용으로 인디 문화 감성 포지셔닝. 출처: grafen.co.kr, cosinkorea.com"
레이지소사이어티 (Lazy Society),,남성 그루밍·면도·스킨케어,lazy__society,"남성 면도 구독→스킨케어 확장 인디 스타트업, 회원 20만 명+, 29CM·무신사·SI빌리지 입점. 아모레퍼시픽이 시리즈A에 투자했으나 독립법인 유지(계열사 아님). 출처: newswire.co.kr, platum.kr"
콘크리티드 (CONCRETED),,유니섹스 니치 향수,concreted.seoul,"서울 테마 유니섹스 향수 스튜디오, 인스타 12K, 무신사 입점. 한국 문화·자연을 향으로 표현, 젠더리스 포지셔닝. 출처: concreted.kr, instagram.com/concreted.seoul"
